CT severity score,Density
0.0,0.0162
0.0501,0.0174
0.1002,0.0186
0.1503,0.0199
0.2004,0.0212
0.2505,0.0226
0.3006,0.024
0.3507,0.0254
0.4008,0.027
0.4509,0.0285
0.501,0.0301
0.5511,0.0317
0.6012,0.0334
0.6513,0.0351
0.7014,0.0368
0.7515,0.0386
0.8016,0.0404
0.8517,0.0421
0.9018,0.0439
0.9519,0.0458
1.002,0.0476
1.0521,0.0494
1.1022,0.0512
1.1523,0.053
1.2024,0.0548
1.2525,0.0566
1.3026,0.0583
1.3527,0.0601
1.4028,0.0618
1.4529,0.0635
1.503,0.0651
1.5531,0.0667
1.6032,0.0683
1.6533,0.0698
1.7034,0.0713
1.7535,0.0727
1.8036,0.0741
1.8537,0.0754
1.9038,0.0767
1.9539,0.0779
2.004,0.0791
2.0541,0.0803
2.1042,0.0814
2.1543,0.0824
2.2044,0.0834
2.2545,0.0844
2.3046,0.0853
2.3547,0.0861
2.4048,0.087
2.4549,0.0877
2.505,0.0885
2.5551,0.0892
2.6052,0.0899
2.6553,0.0906
2.7054,0.0912
2.7555,0.0918
2.8056,0.0923
2.8557,0.0929
2.9058,0.0934
2.9559,0.0939
3.006,0.0944
3.0561,0.0948
3.1062,0.0952
3.1563,0.0956
3.2064,0.096
3.2565,0.0964
3.3066,0.0967
3.3567,0.097
3.4068,0.0972
3.4569,0.0974
3.507,0.0976
3.5571,0.0978
3.6072,0.0979
3.6573,0.098
3.7074,0.098
3.7575,0.098
3.8076,0.098
3.8577,0.0979
3.9078,0.0978
3.9579,0.0976
4.008,0.0974
4.0581,0.0971
4.1082,0.0968
4.1583,0.0964
4.2084,0.096
4.2585,0.0956
4.3086,0.0952
4.3587,0.0947
4.4088,0.0941
4.4589,0.0936
4.509,0.093
4.5591,0.0924
4.6092,0.0918
4.6593,0.0912
4.7094,0.0905
4.7595,0.0899
4.8096,0.0893
4.8597,0.0886
4.9098,0.088
4.9599,0.0874
5.01,0.0868
5.0601,0.0862
5.1102,0.0857
5.1603,0.0852
5.2104,0.0847
5.2605,0.0842
5.3106,0.0838
5.3607,0.0834
5.4108,0.083
5.4609,0.0827
5.511,0.0824
5.5611,0.0822
5.6112,0.082
5.6613,0.0818
5.7114,0.0817
5.7615,0.0816
5.8116,0.0815
5.8617,0.0815
5.9118,0.0814
5.9619,0.0815
6.012,0.0815
6.0621,0.0815
6.1122,0.0816
6.1623,0.0816
6.2124,0.0817
6.2625,0.0818
6.3126,0.0819
6.3627,0.0819
6.4128,0.082
6.4629,0.0821
6.513,0.0821
6.5631,0.0821
6.6132,0.0821
6.6633,0.0821
6.7134,0.0821
6.7635,0.082
6.8136,0.0819
6.8637,0.0818
6.9138,0.0817
6.9639,0.0815
7.014,0.0813
7.0641,0.0811
7.1142,0.0809
7.1643,0.0806
7.2144,0.0804
7.2645,0.0801
7.3146,0.0798
7.3647,0.0795
7.4148,0.0791
7.4649,0.0788
7.515,0.0785
7.5651,0.0781
7.6152,0.0778
7.6653,0.0775
7.7154,0.0772
7.7655,0.0769
7.8156,0.0766
7.8657,0.0763
7.9158,0.076
7.9659,0.0757
8.016,0.0755
8.0661,0.0753
8.1162,0.0751
8.1663,0.0749
8.2164,0.0747
8.2665,0.0746
8.3166,0.0745
8.3667,0.0743
8.4168,0.0742
8.4669,0.0741
8.517,0.074
8.5671,0.0739
