CT severity score,Neg. Density,Pos. Density,All Density
0,0.0121,0.0045,0.0144
0.2525,0.0177,0.0057,0.0195
0.5051,0.0246,0.0071,0.0256
0.7576,0.0329,0.0085,0.0325
1.0101,0.0421,0.01,0.0399
1.2626,0.0518,0.0115,0.0477
1.5152,0.0615,0.0129,0.0554
1.7677,0.0705,0.0142,0.0628
2.0202,0.0786,0.0154,0.0695
2.2727,0.0853,0.0163,0.0755
2.5253,0.0908,0.017,0.0805
2.7778,0.095,0.0175,0.0846
3.0303,0.0983,0.0179,0.0878
3.2828,0.1007,0.018,0.0901
3.5354,0.1023,0.018,0.0916
3.7879,0.103,0.018,0.0924
4.0404,0.1029,0.0179,0.0925
4.2929,0.102,0.0179,0.092
4.5455,0.1005,0.0181,0.0912
4.798,0.0987,0.0185,0.0901
5.0505,0.0968,0.0193,0.089
5.303,0.0952,0.0203,0.088
5.5556,0.0941,0.0218,0.0872
5.8081,0.0933,0.0236,0.0867
6.0606,0.093,0.0258,0.0863
6.3131,0.0928,0.0282,0.0861
6.5657,0.0925,0.0309,0.0858
6.8182,0.0921,0.0338,0.0855
7.0707,0.0913,0.0369,0.0849
7.3232,0.0901,0.0401,0.0841
7.5758,0.0886,0.0434,0.083
7.8283,0.0868,0.0469,0.0817
8.0808,0.0848,0.0504,0.0801
8.3333,0.0824,0.0539,0.0783
8.5859,0.0797,0.0574,0.0762
8.8384,0.0764,0.0605,0.0736
9.0909,0.0725,0.0633,0.0707
9.3434,0.0679,0.0654,0.0674
9.596,0.0629,0.0669,0.0637
9.8485,0.0577,0.0675,0.0597
10.101,0.0525,0.0672,0.0557
10.3535,0.0478,0.0662,0.0517
10.6061,0.0436,0.0645,0.048
10.8586,0.0403,0.0624,0.0447
11.1111,0.0377,0.0599,0.042
11.3636,0.036,0.0575,0.0398
11.6162,0.0351,0.0552,0.0383
11.8687,0.0349,0.0533,0.0374
12.1212,0.0351,0.0519,0.0368
12.3737,0.0356,0.0513,0.0366
12.6263,0.0361,0.0514,0.0364
12.8788,0.0364,0.0522,0.0362
13.1313,0.0362,0.0538,0.0358
13.3838,0.0353,0.0561,0.0351
13.6364,0.0336,0.0588,0.0339
13.8889,0.031,0.062,0.0323
14.1414,0.0276,0.0652,0.0302
14.3939,0.0237,0.0685,0.0279
14.6465,0.0195,0.0714,0.0254
14.899,0.0154,0.0739,0.0229
15.1515,0.0118,0.0757,0.0205
15.404,0.0089,0.0767,0.0183
15.6566,0.0069,0.0769,0.0165
15.9091,0.0056,0.0761,0.015
16.1616,0.005,0.0745,0.0139
16.4141,0.0049,0.072,0.0129
16.6667,0.005,0.0688,0.0122
16.9192,0.0052,0.0649,0.0115
17.1717,0.0053,0.0607,0.0108
17.4242,0.0052,0.0561,0.01
17.6768,0.0048,0.0513,0.0091
17.9293,0.0043,0.0466,0.0081
18.1818,0.0036,0.0421,0.0071
18.4343,0.0029,0.0378,0.0061
18.6869,0.0022,0.034,0.0052
18.9394,0.0016,0.0305,0.0043
19.1919,0.0011,0.0275,0.0037
19.4444,0.0007,0.025,0.0031
19.697,0.0004,0.023,0.0027
19.9495,0.0002,0.0214,0.0023
20.202,0.0001,0.0202,0.0021
20.4545,0.0001,0.0195,0.0019
20.7071,0,0.0191,0.0017
20.9596,0,0.0193,0.0016
21.2121,0,0.0198,0.0017
21.4646,0,0.0206,0.0018
21.7172,0,0.0217,0.002
21.9697,0,0.023,0.0022
22.2222,0,0.0244,0.0025
22.4747,0,0.0257,0.0028
22.7273,0,0.0268,0.0031
22.9798,0,0.0275,0.0032
23.2323,0,0.0279,0.0033
23.4848,0,0.0278,0.0032
23.7374,0,0.0272,0.0031
23.9899,0,0.0263,0.0029
24.2424,0,0.025,0.0027
24.4949,0,0.0234,0.0025
24.7475,0,0.0215,0.0023
25,0,0.0195,0.002
