CT severity score,Density
0.0,0.0159
0.0501,0.0172
0.1002,0.0185
0.1503,0.0199
0.2004,0.0214
0.2505,0.0229
0.3006,0.0245
0.3507,0.0262
0.4008,0.0279
0.4509,0.0296
0.501,0.0314
0.5511,0.0332
0.6012,0.0351
0.6513,0.0371
0.7014,0.039
0.7515,0.041
0.8016,0.043
0.8517,0.0451
0.9018,0.0471
0.9519,0.0492
1.002,0.0513
1.0521,0.0533
1.1022,0.0554
1.1523,0.0575
1.2024,0.0595
1.2525,0.0615
1.3026,0.0635
1.3527,0.0655
1.4028,0.0674
1.4529,0.0693
1.503,0.0712
1.5531,0.073
1.6032,0.0747
1.6533,0.0764
1.7034,0.0781
1.7535,0.0797
1.8036,0.0812
1.8537,0.0826
1.9038,0.084
1.9539,0.0854
2.004,0.0866
2.0541,0.0878
2.1042,0.089
2.1543,0.0901
2.2044,0.0911
2.2545,0.0921
2.3046,0.093
2.3547,0.0939
2.4048,0.0947
2.4549,0.0955
2.505,0.0963
2.5551,0.097
2.6052,0.0977
2.6553,0.0984
2.7054,0.099
2.7555,0.0996
2.8056,0.1002
2.8557,0.1008
2.9058,0.1014
2.9559,0.1019
3.006,0.1024
3.0561,0.103
3.1062,0.1035
3.1563,0.1039
3.2064,0.1044
3.2565,0.1048
3.3066,0.1052
3.3567,0.1056
3.4068,0.106
3.4569,0.1063
3.507,0.1066
3.5571,0.1068
3.6072,0.1071
3.6573,0.1072
3.7074,0.1073
3.7575,0.1074
3.8076,0.1074
3.8577,0.1073
3.9078,0.1072
3.9579,0.1071
4.008,0.1068
4.0581,0.1066
4.1082,0.1062
4.1583,0.1058
4.2084,0.1054
4.2585,0.1048
4.3086,0.1043
4.3587,0.1037
4.4088,0.103
4.4589,0.1023
4.509,0.1016
4.5591,0.1009
4.6092,0.1001
4.6593,0.0993
4.7094,0.0985
4.7595,0.0977
4.8096,0.0969
4.8597,0.0961
4.9098,0.0953
4.9599,0.0945
5.01,0.0938
5.0601,0.093
5.1102,0.0923
5.1603,0.0917
5.2104,0.091
5.2605,0.0904
5.3106,0.0899
5.3607,0.0893
5.4108,0.0889
5.4609,0.0884
5.511,0.0881
5.5611,0.0877
5.6112,0.0874
5.6613,0.0872
5.7114,0.0869
5.7615,0.0868
5.8116,0.0866
5.8617,0.0865
5.9118,0.0864
5.9619,0.0864
6.012,0.0863
6.0621,0.0863
6.1122,0.0863
6.1623,0.0863
6.2124,0.0863
6.2625,0.0863
6.3126,0.0864
6.3627,0.0864
6.4128,0.0864
6.4629,0.0863
6.513,0.0863
6.5631,0.0862
6.6132,0.0861
6.6633,0.086
6.7134,0.0859
6.7635,0.0857
6.8136,0.0855
6.8637,0.0853
6.9138,0.085
6.9639,0.0847
7.014,0.0844
7.0641,0.084
7.1142,0.0836
7.1643,0.0832
7.2144,0.0828
7.2645,0.0823
7.3146,0.0819
7.3647,0.0814
7.4148,0.0809
7.4649,0.0804
7.515,0.0799
7.5651,0.0794
7.6152,0.0789
7.6653,0.0784
7.7154,0.0779
7.7655,0.0774
7.8156,0.077
7.8657,0.0766
7.9158,0.0761
7.9659,0.0758
8.016,0.0754
8.0661,0.0751
8.1162,0.0748
8.1663,0.0745
8.2164,0.0742
8.2665,0.0739
8.3166,0.0737
8.3667,0.0735
8.4168,0.0733
8.4669,0.0731
8.517,0.0729
8.5671,0.0727
8.6172,0.0725
8.6673,0.0724
8.7174,0.0722
8.7675,0.072
8.8176,0.0717
8.8677,0.0715
8.9178,0.0712
8.9679,0.071
9.018,0.0706
9.0681,0.0703
9.1182,0.0699
9.1683,0.0696
9.2184,0.0691
9.2685,0.0687
9.3186,0.0682
9.3687,0.0677
9.4188,0.0671
9.4689,0.0665
9.519,0.0659
9.5691,0.0653
9.6192,0.0646
9.6693,0.0639
9.7194,0.0632
9.7695,0.0625
9.8196,0.0618
9.8697,0.061
9.9198,0.0603
9.9699,0.0595
10.02,0.0588
10.0701,0.058
10.1202,0.0573
10.1703,0.0565
10.2204,0.0558
10.2705,0.0551
10.3206,0.0543
10.3707,0.0536
10.4208,0.053
10.4709,0.0523
10.521,0.0517
10.5711,0.051
10.6212,0.0505
10.6713,0.0499
10.7214,0.0493
10.7715,0.0488
10.8216,0.0483
10.8717,0.0478
10.9218,0.0473
10.9719,0.0469
11.022,0.0465
11.0721,0.0461
11.1222,0.0457
11.1723,0.0453
11.2224,0.045
11.2725,0.0446
11.3226,0.0443
11.3727,0.044
11.4228,0.0437
11.4729,0.0434
11.523,0.0431
11.5731,0.0428
11.6232,0.0425
11.6733,0.0422
11.7234,0.0419
11.7735,0.0416
11.8236,0.0413
11.8737,0.0411
11.9238,0.0408
11.9739,0.0405
12.024,0.0402
12.0741,0.0399
12.1242,0.0396
12.1743,0.0393
12.2244,0.039
12.2745,0.0387
12.3246,0.0384
12.3747,0.0381
12.4248,0.0378
12.4749,0.0375
12.5251,0.0372
12.5752,0.0369
12.6253,0.0367
12.6754,0.0364
12.7255,0.0362
12.7756,0.0359
12.8257,0.0357
12.8758,0.0355
12.9259,0.0352
12.976,0.035
13.0261,0.0348
13.0762,0.0346
13.1263,0.0344
13.1764,0.0342
13.2265,0.034
13.2766,0.0338
13.3267,0.0336
13.3768,0.0333
13.4269,0.0331
13.477,0.0328
13.5271,0.0326
13.5772,0.0323
13.6273,0.0319
13.6774,0.0316
13.7275,0.0312
13.7776,0.0308
13.8277,0.0303
13.8778,0.0299
13.9279,0.0293
13.978,0.0288
14.0281,0.0282
14.0782,0.0276
14.1283,0.0269
14.1784,0.0262
14.2285,0.0255
14.2786,0.0248
14.3287,0.024
14.3788,0.0232
14.4289,0.0223
14.479,0.0215
14.5291,0.0206
14.5792,0.0198
14.6293,0.0189
14.6794,0.018
14.7295,0.0171
14.7796,0.0162
14.8297,0.0153
14.8798,0.0145
14.9299,0.0136
14.98,0.0128
15.0301,0.0119
15.0802,0.0111
15.1303,0.0104
15.1804,0.0096
15.2305,0.0089
15.2806,0.0082
15.3307,0.0076
15.3808,0.0069
15.4309,0.0064
15.481,0.0058
15.5311,0.0053
15.5812,0.0048
15.6313,0.0043
15.6814,0.0039
15.7315,0.0035
15.7816,0.0032
15.8317,0.0028
15.8818,0.0025
15.9319,0.0022
15.982,0.002
16.0321,0.0018
16.0822,0.0015
16.1323,0.0014
16.1824,0.0012
16.2325,0.001
16.2826,0.0009
16.3327,0.0008
16.3828,0.0007
16.4329,0.0006
16.483,0.0005
16.5331,0.0004
16.5832,0.0004
16.6333,0.0003
16.6834,0.0003
16.7335,0.0002
16.7836,0.0002
16.8337,0.0002
16.8838,0.0001
16.9339,0.0001
16.984,0.0001
17.0341,0.0001
17.0842,0.0001
17.1343,0.0001
17.1844,0.0
17.2345,0.0
17.2846,0.0
17.3347,0.0
17.3848,0.0
17.4349,0.0
17.485,0.0
17.5351,0.0
17.5852,0.0
17.6353,0.0
17.6854,0.0
17.7355,0.0
17.7856,0.0
17.8357,0.0
17.8858,0.0
17.9359,0.0
17.986,0.0
18.0361,0.0
18.0862,0.0
18.1363,0.0
18.1864,0.0
18.2365,0.0
18.2866,0.0
18.3367,0.0
18.3868,0.0
18.4369,0.0
18.487,0.0
18.5371,0.0
18.5872,0.0
18.6373,0.0
18.6874,0.0
18.7375,0.0
18.7876,0.0
18.8377,0.0
18.8878,0.0
18.9379,0.0
18.988,0.0
19.0381,0.0
19.0882,0.0
19.1383,0.0
19.1884,0.0
19.2385,0.0
19.2886,0.0
19.3387,0.0
19.3888,0.0
19.4389,0.0
19.489,0.0
19.5391,0.0
19.5892,0.0
19.6393,0.0
19.6894,0.0
19.7395,0.0
19.7896,0.0
19.8397,0.0
19.8898,0.0
19.9399,0.0
19.99,0.0
20.0401,0.0
20.0902,0.0
20.1403,0.0
20.1904,0.0
20.2405,0.0
20.2906,0.0
20.3407,0.0
20.3908,0.0
20.4409,0.0
20.491,0.0
20.5411,0.0
20.5912,0.0
20.6413,0.0
20.6914,0.0
20.7415,0.0
20.7916,0.0
20.8417,0.0
20.8918,0.0
20.9419,0.0
20.992,0.0
21.0421,0.0
21.0922,0.0
21.1423,0.0
21.1924,0.0
21.2425,0.0
21.2926,0.0
21.3427,0.0
21.3928,0.0
21.4429,0.0
21.493,0.0
21.5431,0.0
21.5932,0.0
21.6433,0.0
21.6934,0.0
21.7435,0.0
21.7936,0.0
21.8437,0.0
21.8938,0.0
21.9439,0.0
21.994,0.0
22.0441,0.0
22.0942,0.0
22.1443,0.0
22.1944,0.0
22.2445,0.0
22.2946,0.0
22.3447,0.0
22.3948,0.0
22.4449,0.0
22.495,0.0
22.5451,0.0
22.5952,0.0
22.6453,0.0
22.6954,0.0
22.7455,0.0
22.7956,0.0
22.8457,0.0
22.8958,0.0
22.9459,0.0
22.996,0.0
23.0461,0.0
23.0962,0.0
23.1463,0.0
23.1964,0.0
23.2465,0.0
23.2966,0.0
23.3467,0.0
23.3968,0.0
23.4469,0.0
23.497,0.0
23.5471,0.0
23.5972,0.0
23.6473,0.0
23.6974,0.0
23.7475,0.0
23.7976,0.0
23.8477,0.0
23.8978,0.0
23.9479,0.0
23.998,0.0
24.0481,0.0
24.0982,0.0
24.1483,0.0
24.1984,0.0
24.2485,0.0
24.2986,0.0
24.3487,0.0
24.3988,0.0
24.4489,0.0
24.499,0.0
24.5491,0.0
24.5992,0.0
24.6493,0.0
24.6994,0.0
24.7495,0.0
24.7996,0.0
24.8497,0.0
24.8998,0.0
24.9499,0.0
25.0,0.0
