CT severity score,Density
0.0,0.0051
0.0501,0.0055
0.1002,0.0059
0.1503,0.0064
0.2004,0.0068
0.2505,0.0073
0.3006,0.0078
0.3507,0.0084
0.4008,0.0089
0.4509,0.0095
0.501,0.0101
0.5511,0.0107
0.6012,0.0113
0.6513,0.0119
0.7014,0.0126
0.7515,0.0132
0.8016,0.0139
0.8517,0.0146
0.9018,0.0153
0.9519,0.0159
1.002,0.0166
1.0521,0.0173
1.1022,0.018
1.1523,0.0187
1.2024,0.0194
1.2525,0.0201
1.3026,0.0208
1.3527,0.0214
1.4028,0.0221
1.4529,0.0227
1.503,0.0233
1.5531,0.0239
1.6032,0.0245
1.6533,0.025
1.7034,0.0256
1.7535,0.0261
1.8036,0.0266
1.8537,0.0271
1.9038,0.0275
1.9539,0.0279
2.004,0.0283
2.0541,0.0287
2.1042,0.0291
2.1543,0.0294
2.2044,0.0297
2.2545,0.03
2.3046,0.0302
2.3547,0.0304
2.4048,0.0307
2.4549,0.0308
2.505,0.031
2.5551,0.0312
2.6052,0.0313
2.6553,0.0314
2.7054,0.0315
2.7555,0.0316
2.8056,0.0317
2.8557,0.0317
2.9058,0.0318
2.9559,0.0318
3.006,0.0318
3.0561,0.0318
3.1062,0.0318
3.1563,0.0318
3.2064,0.0318
3.2565,0.0318
3.3066,0.0317
3.3567,0.0317
3.4068,0.0316
3.4569,0.0315
3.507,0.0314
3.5571,0.0313
3.6072,0.0312
3.6573,0.031
3.7074,0.0309
3.7575,0.0307
3.8076,0.0305
3.8577,0.0304
3.9078,0.0302
3.9579,0.03
4.008,0.0298
4.0581,0.0295
4.1082,0.0293
4.1583,0.0291
4.2084,0.0288
4.2585,0.0286
4.3086,0.0284
4.3587,0.0282
4.4088,0.0279
4.4589,0.0277
4.509,0.0275
4.5591,0.0273
4.6092,0.0272
4.6593,0.027
4.7094,0.0269
4.7595,0.0268
4.8096,0.0267
4.8597,0.0267
4.9098,0.0267
4.9599,0.0267
5.01,0.0268
5.0601,0.0269
5.1102,0.0271
5.1603,0.0273
5.2104,0.0276
5.2605,0.0279
5.3106,0.0283
5.3607,0.0287
5.4108,0.0292
5.4609,0.0297
5.511,0.0303
5.5611,0.0309
5.6112,0.0316
5.6613,0.0324
5.7114,0.0331
5.7615,0.034
5.8116,0.0348
5.8617,0.0357
5.9118,0.0367
5.9619,0.0377
6.012,0.0387
6.0621,0.0397
6.1122,0.0407
6.1623,0.0418
6.2124,0.0429
6.2625,0.044
6.3126,0.0451
6.3627,0.0462
6.4128,0.0472
6.4629,0.0483
6.513,0.0494
6.5631,0.0505
6.6132,0.0515
6.6633,0.0525
6.7134,0.0535
6.7635,0.0545
6.8136,0.0555
6.8637,0.0564
6.9138,0.0574
6.9639,0.0583
7.014,0.0591
7.0641,0.06
7.1142,0.0608
7.1643,0.0616
7.2144,0.0624
7.2645,0.0632
7.3146,0.0639
7.3647,0.0647
7.4148,0.0654
7.4649,0.0661
7.515,0.0669
7.5651,0.0676
7.6152,0.0683
7.6653,0.0691
7.7154,0.0698
7.7655,0.0706
7.8156,0.0713
7.8657,0.0721
7.9158,0.0729
7.9659,0.0738
8.016,0.0746
8.0661,0.0755
8.1162,0.0764
8.1663,0.0773
8.2164,0.0782
8.2665,0.0792
8.3166,0.0801
8.3667,0.0811
8.4168,0.0821
8.4669,0.0831
8.517,0.0841
8.5671,0.0851
8.6172,0.0862
8.6673,0.0872
8.7174,0.0882
8.7675,0.0892
8.8176,0.0901
8.8677,0.0911
8.9178,0.092
8.9679,0.0929
9.018,0.0937
9.0681,0.0945
9.1182,0.0953
9.1683,0.096
9.2184,0.0966
9.2685,0.0972
9.3186,0.0977
9.3687,0.0981
9.4188,0.0985
9.4689,0.0987
9.519,0.0989
9.5691,0.099
9.6192,0.0991
9.6693,0.099
9.7194,0.0989
9.7695,0.0986
9.8196,0.0983
9.8697,0.0979
9.9198,0.0974
9.9699,0.0968
10.02,0.0961
10.0701,0.0953
10.1202,0.0945
10.1703,0.0935
10.2204,0.0925
10.2705,0.0914
10.3206,0.0903
10.3707,0.0891
10.4208,0.0878
10.4709,0.0865
10.521,0.0851
10.5711,0.0837
10.6212,0.0822
10.6713,0.0807
10.7214,0.0792
10.7715,0.0776
10.8216,0.076
10.8717,0.0744
10.9218,0.0728
10.9719,0.0712
11.022,0.0696
11.0721,0.068
11.1222,0.0664
11.1723,0.0649
11.2224,0.0633
11.2725,0.0618
11.3226,0.0603
11.3727,0.0589
11.4228,0.0575
11.4729,0.0561
11.523,0.0548
11.5731,0.0535
11.6232,0.0523
11.6733,0.0511
11.7234,0.05
11.7735,0.0489
11.8236,0.0479
11.8737,0.047
11.9238,0.0461
11.9739,0.0453
12.024,0.0445
12.0741,0.0438
12.1242,0.0432
12.1743,0.0426
12.2244,0.0421
12.2745,0.0417
12.3246,0.0413
12.3747,0.041
12.4248,0.0407
12.4749,0.0405
12.5251,0.0403
12.5752,0.0402
12.6253,0.0402
12.6754,0.0402
12.7255,0.0402
12.7756,0.0403
12.8257,0.0405
12.8758,0.0407
12.9259,0.041
12.976,0.0413
13.0261,0.0417
13.0762,0.0421
13.1263,0.0426
13.1764,0.0432
13.2265,0.0437
13.2766,0.0444
13.3267,0.0451
13.3768,0.0458
13.4269,0.0466
13.477,0.0475
13.5271,0.0484
13.5772,0.0493
13.6273,0.0503
13.6774,0.0514
13.7275,0.0525
13.7776,0.0536
13.8277,0.0548
13.8778,0.0561
13.9279,0.0574
13.978,0.0587
14.0281,0.06
14.0782,0.0614
14.1283,0.0629
14.1784,0.0643
14.2285,0.0658
14.2786,0.0673
14.3287,0.0689
14.3788,0.0704
14.4289,0.072
14.479,0.0735
14.5291,0.0751
14.5792,0.0766
14.6293,0.0781
14.6794,0.0796
14.7295,0.0811
14.7796,0.0825
14.8297,0.084
