kernel,C,epsilon,MSE,MAE,R^2-Score,PCC
linear,1,0.01,9.595,2.436,0.452,0.736
linear,1,0.1,9.269,2.377,0.473,0.747
linear,1,0.5,9.717,2.444,0.463,0.734
linear,1,0.7,9.718,2.456,0.459,0.739
linear,5,0.01,9.583,2.435,0.453,0.736
linear,5,0.1,9.26,2.378,0.473,0.747
linear,5,0.5,9.719,2.444,0.463,0.734
linear,5,0.7,9.854,2.466,0.451,0.734
linear,10,0.01,9.583,2.435,0.452,0.736
linear,10,0.1,9.259,2.379,0.473,0.747
linear,10,0.5,9.721,2.444,0.462,0.734
linear,10,0.7,9.85,2.466,0.451,0.734
linear,15,0.01,9.583,2.435,0.453,0.736
linear,15,0.1,9.26,2.379,0.473,0.747
linear,15,0.5,9.722,2.444,0.462,0.734
linear,15,0.7,9.852,2.466,0.451,0.734
