kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,2,1,0.1,1,0.01,14.828,2.881,0.11,0.65
poly,2,1,0.1,1,0.1,13.278,2.826,0.21,0.671
poly,2,1,0.1,1,0.5,11.851,2.6,0.323,0.682
poly,2,1,0.1,1,0.8,10.744,2.544,0.409,0.697
poly,2,1,0.1,2,0.01,14.867,2.883,0.109,0.649
poly,2,1,0.1,2,0.1,13.328,2.83,0.207,0.67
poly,2,1,0.1,2,0.5,12.051,2.612,0.311,0.679
poly,2,1,0.1,2,0.8,10.99,2.564,0.395,0.693
poly,2,1,0.1,3,0.01,14.884,2.885,0.109,0.648
poly,2,1,0.1,3,0.1,13.348,2.833,0.207,0.67
poly,2,1,0.1,3,0.5,12.119,2.617,0.306,0.679
poly,2,1,0.1,3,0.8,11.092,2.574,0.389,0.691
poly,2,1,0.1,4,0.01,14.893,2.885,0.108,0.648
poly,2,1,0.1,4,0.1,13.366,2.835,0.206,0.67
poly,2,1,0.1,4,0.5,12.154,2.619,0.304,0.678
poly,2,1,0.1,4,0.8,11.157,2.58,0.385,0.69
poly,2,1,0.01,1,0.01,9.13,2.362,0.489,0.747
poly,2,1,0.01,1,0.1,9.068,2.348,0.495,0.752
poly,2,1,0.01,1,0.5,9.29,2.423,0.5,0.751
poly,2,1,0.01,1,0.8,9.554,2.474,0.489,0.749
poly,2,1,0.01,2,0.01,9.195,2.368,0.479,0.744
poly,2,1,0.01,2,0.1,9.133,2.357,0.484,0.75
poly,2,1,0.01,2,0.5,9.425,2.435,0.486,0.743
poly,2,1,0.01,2,0.8,9.298,2.452,0.489,0.747
poly,2,1,0.01,3,0.01,9.256,2.376,0.474,0.743
poly,2,1,0.01,3,0.1,9.105,2.354,0.482,0.749
poly,2,1,0.01,3,0.5,9.428,2.434,0.485,0.743
poly,2,1,0.01,3,0.8,9.252,2.437,0.488,0.749
poly,2,1,0.01,4,0.01,9.262,2.377,0.473,0.743
poly,2,1,0.01,4,0.1,9.107,2.355,0.48,0.749
poly,2,1,0.01,4,0.5,9.413,2.433,0.485,0.744
poly,2,1,0.01,4,0.8,9.226,2.425,0.487,0.748
poly,2,1,0.001,1,0.01,11.984,2.684,0.395,0.749
poly,2,1,0.001,1,0.1,12.067,2.696,0.392,0.749
poly,2,1,0.001,1,0.5,12.802,2.777,0.354,0.748
poly,2,1,0.001,1,0.8,13.465,2.872,0.322,0.742
poly,2,1,0.001,2,0.01,10.643,2.534,0.452,0.748
poly,2,1,0.001,2,0.1,10.487,2.523,0.461,0.753
poly,2,1,0.001,2,0.5,10.715,2.562,0.453,0.754
poly,2,1,0.001,2,0.8,11.646,2.701,0.408,0.74
poly,2,1,0.001,3,0.01,10.012,2.482,0.472,0.748
poly,2,1,0.001,3,0.1,9.891,2.448,0.483,0.753
poly,2,1,0.001,3,0.5,10.09,2.494,0.479,0.755
poly,2,1,0.001,3,0.8,10.946,2.617,0.441,0.743
poly,2,1,0.001,4,0.01,9.682,2.432,0.481,0.747
poly,2,1,0.001,4,0.1,9.582,2.409,0.492,0.753
poly,2,1,0.001,4,0.5,9.792,2.459,0.492,0.755
poly,2,1,0.001,4,0.8,10.402,2.556,0.466,0.746
poly,2,5,0.1,1,0.01,26.817,3.661,-0.644,0.543
poly,2,5,0.1,1,0.1,22.92,3.433,-0.366,0.585
poly,2,5,0.1,1,0.5,17.772,3.026,-0.036,0.609
poly,2,5,0.1,1,0.8,16.75,3.07,0.024,0.566
poly,2,5,0.1,2,0.01,26.853,3.664,-0.646,0.542
poly,2,5,0.1,2,0.1,23.107,3.438,-0.379,0.584
poly,2,5,0.1,2,0.5,17.773,3.027,-0.036,0.61
poly,2,5,0.1,2,0.8,16.579,3.074,0.034,0.573
poly,2,5,0.1,3,0.01,26.878,3.666,-0.648,0.541
poly,2,5,0.1,3,0.1,23.185,3.441,-0.384,0.583
poly,2,5,0.1,3,0.5,17.777,3.027,-0.037,0.61
poly,2,5,0.1,3,0.8,16.524,3.074,0.038,0.576
poly,2,5,0.1,4,0.01,26.88,3.667,-0.648,0.541
poly,2,5,0.1,4,0.1,23.23,3.442,-0.387,0.583
poly,2,5,0.1,4,0.5,17.769,3.027,-0.036,0.611
poly,2,5,0.1,4,0.8,16.495,3.074,0.039,0.577
