kernel,C,gamma,epsilon,MSE,MAE,R^2-Score,PCC
RBF,5,0.1,0.001,13.951,2.911,0.238,0.596
RBF,5,0.1,0.01,13.909,2.909,0.24,0.597
RBF,5,0.1,0.1,13.486,2.906,0.262,0.606
RBF,5,0.1,0.5,11.124,2.695,0.406,0.68
RBF,5,0.1,0.8,11.252,2.686,0.398,0.677
RBF,5,0.01,0.001,9.241,2.39,0.484,0.74
RBF,5,0.01,0.01,9.232,2.388,0.484,0.74
RBF,5,0.01,0.1,9.224,2.375,0.486,0.74
RBF,5,0.01,0.5,9.302,2.435,0.492,0.747
RBF,5,0.01,0.8,8.987,2.406,0.497,0.752
RBF,5,0.001,0.001,9.474,2.405,0.487,0.746
RBF,5,0.001,0.01,9.498,2.404,0.487,0.746
RBF,5,0.001,0.1,9.356,2.377,0.5,0.752
RBF,5,0.001,0.5,9.542,2.437,0.499,0.755
RBF,5,0.001,0.8,10.112,2.531,0.477,0.749
RBF,5,0.0001,0.001,14.662,2.969,0.266,0.743
RBF,5,0.0001,0.01,14.645,2.969,0.266,0.743
RBF,5,0.0001,0.1,14.509,2.966,0.272,0.741
RBF,5,0.0001,0.5,14.755,2.976,0.258,0.743
RBF,5,0.0001,0.8,15.788,3.106,0.206,0.738
RBF,10,0.1,0.001,14.954,3.026,0.184,0.576
RBF,10,0.1,0.01,14.898,3.028,0.187,0.577
RBF,10,0.1,0.1,14.358,3.024,0.217,0.587
RBF,10,0.1,0.5,11.17,2.706,0.404,0.678
RBF,10,0.1,0.8,11.252,2.686,0.398,0.677
RBF,10,0.01,0.001,9.706,2.423,0.453,0.729
RBF,10,0.01,0.01,9.7,2.424,0.453,0.729
RBF,10,0.01,0.1,9.67,2.424,0.455,0.73
RBF,10,0.01,0.5,9.514,2.445,0.475,0.743
RBF,10,0.01,0.8,9.014,2.408,0.492,0.749
RBF,10,0.001,0.001,9.189,2.368,0.489,0.744
RBF,10,0.001,0.01,9.198,2.372,0.489,0.744
RBF,10,0.001,0.1,9.144,2.35,0.495,0.751
RBF,10,0.001,0.5,9.294,2.411,0.503,0.752
RBF,10,0.001,0.8,9.623,2.479,0.488,0.747
RBF,10,0.0001,0.001,11.97,2.683,0.396,0.749
RBF,10,0.0001,0.01,11.991,2.685,0.395,0.749
RBF,10,0.0001,0.1,12.078,2.698,0.392,0.748
RBF,10,0.0001,0.5,12.816,2.778,0.353,0.748
RBF,10,0.0001,0.8,13.479,2.874,0.321,0.743
RBF,15,0.1,0.001,15.371,3.087,0.158,0.569
RBF,15,0.1,0.01,15.291,3.085,0.162,0.57
RBF,15,0.1,0.1,14.538,3.054,0.207,0.583
RBF,15,0.1,0.5,11.17,2.706,0.404,0.678
RBF,15,0.1,0.8,11.252,2.686,0.398,0.677
RBF,15,0.01,0.001,10.418,2.5,0.409,0.713
RBF,15,0.01,0.01,10.421,2.5,0.409,0.713
RBF,15,0.01,0.1,10.109,2.481,0.428,0.72
RBF,15,0.01,0.5,9.523,2.443,0.473,0.741
RBF,15,0.01,0.8,9.152,2.416,0.484,0.745
RBF,15,0.001,0.001,9.325,2.375,0.477,0.742
RBF,15,0.001,0.01,9.318,2.378,0.478,0.742
RBF,15,0.001,0.1,9.142,2.355,0.489,0.75
RBF,15,0.001,0.5,9.257,2.411,0.502,0.75
RBF,15,0.001,0.8,9.337,2.454,0.493,0.748
RBF,15,0.0001,0.001,11.075,2.583,0.434,0.75
RBF,15,0.0001,0.01,11.084,2.582,0.435,0.751
RBF,15,0.0001,0.1,11.062,2.585,0.437,0.751
RBF,15,0.0001,0.5,11.495,2.639,0.419,0.753
RBF,15,0.0001,0.8,12.41,2.765,0.374,0.74
RBF,20,0.1,0.001,15.463,3.106,0.152,0.568
RBF,20,0.1,0.01,15.376,3.102,0.157,0.569
RBF,20,0.1,0.1,14.503,3.05,0.211,0.585
RBF,20,0.1,0.5,11.17,2.706,0.404,0.678
RBF,20,0.1,0.8,11.252,2.686,0.398,0.677
RBF,20,0.01,0.001,10.998,2.564,0.372,0.699
RBF,20,0.01,0.01,10.993,2.564,0.373,0.699
RBF,20,0.01,0.1,10.51,2.539,0.401,0.711
RBF,20,0.01,0.5,9.529,2.435,0.47,0.739
RBF,20,0.01,0.8,9.228,2.423,0.483,0.742
RBF,20,0.001,0.001,9.356,2.384,0.473,0.741
RBF,20,0.001,0.01,9.37,2.387,0.472,0.74
RBF,20,0.001,0.1,9.155,2.36,0.486,0.749
RBF,20,0.001,0.5,9.284,2.417,0.497,0.747
RBF,20,0.001,0.8,9.292,2.447,0.493,0.748
RBF,20,0.0001,0.001,10.635,2.531,0.452,0.748
RBF,20,0.0001,0.01,10.638,2.532,0.452,0.749
RBF,20,0.0001,0.1,10.482,2.522,0.461,0.753
RBF,20,0.0001,0.5,10.726,2.563,0.452,0.754
RBF,20,0.0001,0.8,11.653,2.701,0.408,0.74
