Activation,Learning_strategy,Layers,Learning_rate,MSE,MAE,R^2-Score,PCC
relu,constant,"(50,)",0.01,18.743,3.367,0.029,0.579
relu,constant,"(50,)",0.001,11.419,2.721,0.411,0.697
relu,constant,"(50,)",0.0001,9.314,2.463,0.519,0.732
relu,constant,"(50,)",1e-05,15.714,2.999,0.203,0.529
relu,constant,"(100,)",0.01,17.378,3.224,0.1,0.573
relu,constant,"(100,)",0.001,14.095,3.039,0.265,0.638
relu,constant,"(100,)",0.0001,9.516,2.417,0.51,0.723
relu,constant,"(100,)",1e-05,12.597,2.848,0.357,0.633
relu,constant,"(150,)",0.01,18.111,3.294,0.071,0.595
relu,constant,"(150,)",0.001,13.477,2.892,0.304,0.657
relu,constant,"(150,)",0.0001,9.456,2.429,0.513,0.73
relu,constant,"(150,)",1e-05,11.348,2.6,0.434,0.709
relu,constant,"(200,)",0.01,15.865,3.065,0.184,0.606
relu,constant,"(200,)",0.001,13.29,2.893,0.318,0.653
relu,constant,"(200,)",0.0001,9.174,2.362,0.529,0.737
relu,constant,"(200,)",1e-05,11.293,2.635,0.437,0.695
relu,constant,"(250,)",0.01,17.414,3.28,0.095,0.574
relu,constant,"(250,)",0.001,13.886,2.973,0.281,0.642
relu,constant,"(250,)",0.0001,9.28,2.419,0.521,0.732
relu,constant,"(250,)",1e-05,10.669,2.609,0.46,0.713
relu,constant,"(300,)",0.01,16.582,3.184,0.14,0.606
relu,constant,"(300,)",0.001,14.372,3.054,0.259,0.634
relu,constant,"(300,)",0.0001,9.73,2.427,0.498,0.722
relu,constant,"(300,)",1e-05,11.187,2.608,0.444,0.691
logistic,constant,"(50,)",0.01,21.642,3.645,-0.133,0.479
logistic,constant,"(50,)",0.001,8.911,2.343,0.546,0.746
logistic,constant,"(50,)",0.0001,9.641,2.433,0.517,0.739
logistic,constant,"(50,)",1e-05,18.335,3.342,0.08,0.481
logistic,constant,"(100,)",0.01,16.225,3.168,0.169,0.564
logistic,constant,"(100,)",0.001,8.858,2.338,0.549,0.748
logistic,constant,"(100,)",0.0001,9.65,2.438,0.516,0.741
logistic,constant,"(100,)",1e-05,18.927,3.495,0.043,0.62
logistic,constant,"(150,)",0.01,12.621,2.728,0.328,0.661
logistic,constant,"(150,)",0.001,8.857,2.343,0.549,0.748
logistic,constant,"(150,)",0.0001,9.495,2.425,0.524,0.742
logistic,constant,"(150,)",1e-05,18.163,3.294,0.092,0.65
logistic,constant,"(200,)",0.01,10.189,2.484,0.493,0.712
logistic,constant,"(200,)",0.001,8.898,2.358,0.545,0.745
logistic,constant,"(200,)",0.0001,9.072,2.371,0.542,0.748
logistic,constant,"(200,)",1e-05,18.013,3.324,0.102,0.632
logistic,constant,"(250,)",0.01,9.28,2.381,0.524,0.734
logistic,constant,"(250,)",0.001,8.833,2.351,0.549,0.748
logistic,constant,"(250,)",0.0001,9.261,2.399,0.533,0.744
logistic,constant,"(250,)",1e-05,18.203,3.373,0.085,0.595
logistic,constant,"(300,)",0.01,9.398,2.405,0.516,0.735
logistic,constant,"(300,)",0.001,8.853,2.353,0.548,0.747
logistic,constant,"(300,)",0.0001,9.195,2.388,0.536,0.745
logistic,constant,"(300,)",1e-05,18.155,3.332,0.091,0.615
relu,constant,"(50,10)",0.01,15.043,3.067,0.213,0.612
relu,constant,"(50,10)",0.001,12.263,2.728,0.361,0.657
relu,constant,"(50,10)",0.0001,10.231,2.531,0.483,0.702
relu,constant,"(50,10)",1e-05,15.057,2.949,0.254,0.602
relu,constant,"(100,20)",0.01,16.947,3.175,0.106,0.582
relu,constant,"(100,20)",0.001,13.713,2.923,0.278,0.63
relu,constant,"(100,20)",0.0001,10.28,2.536,0.464,0.699
relu,constant,"(100,20)",1e-05,12.101,2.713,0.391,0.657
relu,constant,"(150,30)",0.01,16.629,3.215,0.138,0.557
relu,constant,"(150,30)",0.001,14.799,3.091,0.238,0.619
relu,constant,"(150,30)",0.0001,10.822,2.608,0.44,0.685
relu,constant,"(150,30)",1e-05,10.444,2.534,0.475,0.707
relu,constant,"(200,40)",0.01,15.233,3.082,0.205,0.6
relu,constant,"(200,40)",0.001,14.123,2.966,0.269,0.607
relu,constant,"(200,40)",0.0001,10.738,2.58,0.448,0.689
relu,constant,"(200,40)",1e-05,10.277,2.576,0.479,0.708
logistic,constant,"(50,10)",0.01,16.012,3.137,0.151,0.591
logistic,constant,"(50,10)",0.001,9.684,2.388,0.507,0.721
logistic,constant,"(50,10)",0.0001,18.571,3.341,0.07,0.63
logistic,constant,"(50,10)",1e-05,26.76,3.75,-0.347,0.261
logistic,constant,"(100,20)",0.01,17.966,3.236,0.073,0.548
logistic,constant,"(100,20)",0.001,9.153,2.364,0.532,0.738
logistic,constant,"(100,20)",0.0001,9.299,2.38,0.533,0.74
logistic,constant,"(100,20)",1e-05,20.224,3.587,-0.019,-0.077
logistic,constant,"(150,30)",0.01,16.822,3.164,0.123,0.589
logistic,constant,"(150,30)",0.001,9.181,2.365,0.53,0.737
logistic,constant,"(150,30)",0.0001,9.057,2.353,0.543,0.746
logistic,constant,"(150,30)",1e-05,20.284,3.609,-0.023,0.415
logistic,constant,"(200,40)",0.01,16.654,3.254,0.137,0.592
logistic,constant,"(200,40)",0.001,9.14,2.365,0.531,0.738
logistic,constant,"(200,40)",0.0001,8.914,2.344,0.549,0.75
logistic,constant,"(200,40)",1e-05,20.315,3.598,-0.024,-0.105
