kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,2,1,0.1,1,0.01,9.569,2.425,0.444,0.731
poly,2,1,0.1,1,0.1,9.706,2.438,0.431,0.723
poly,2,1,0.1,1,0.5,8.794,2.363,0.495,0.739
poly,2,1,0.1,1,0.8,8.878,2.386,0.507,0.748
poly,2,1,0.1,2,0.01,9.646,2.435,0.439,0.73
poly,2,1,0.1,2,0.1,9.78,2.446,0.426,0.721
poly,2,1,0.1,2,0.5,8.791,2.364,0.496,0.74
poly,2,1,0.1,2,0.8,8.885,2.38,0.505,0.746
poly,2,1,0.1,3,0.01,9.673,2.438,0.437,0.729
poly,2,1,0.1,3,0.1,9.803,2.448,0.424,0.721
poly,2,1,0.1,3,0.5,8.79,2.365,0.496,0.74
poly,2,1,0.1,3,0.8,8.908,2.381,0.504,0.746
poly,2,1,0.1,4,0.01,9.682,2.439,0.437,0.729
poly,2,1,0.1,4,0.1,9.811,2.449,0.424,0.721
poly,2,1,0.1,4,0.5,8.796,2.366,0.496,0.74
poly,2,1,0.1,4,0.8,8.93,2.383,0.503,0.745
poly,2,1,0.01,1,0.01,9.28,2.408,0.484,0.743
poly,2,1,0.01,1,0.1,9.291,2.41,0.483,0.744
poly,2,1,0.01,1,0.5,9.516,2.436,0.49,0.745
poly,2,1,0.01,1,0.8,9.294,2.439,0.5,0.75
poly,2,1,0.01,2,0.01,9.492,2.427,0.466,0.737
poly,2,1,0.01,2,0.1,9.303,2.412,0.48,0.744
poly,2,1,0.01,2,0.5,9.633,2.449,0.48,0.74
poly,2,1,0.01,2,0.8,9.074,2.393,0.505,0.752
poly,2,1,0.01,3,0.01,9.547,2.433,0.462,0.735
poly,2,1,0.01,3,0.1,9.339,2.419,0.476,0.742
poly,2,1,0.01,3,0.5,9.779,2.463,0.471,0.735
poly,2,1,0.01,3,0.8,8.991,2.38,0.506,0.752
poly,2,1,0.01,4,0.01,9.656,2.442,0.454,0.733
poly,2,1,0.01,4,0.1,9.357,2.417,0.474,0.741
poly,2,1,0.01,4,0.5,9.801,2.465,0.468,0.735
poly,2,1,0.01,4,0.8,8.978,2.377,0.505,0.752
poly,2,1,0.001,1,0.01,12.148,2.708,0.382,0.75
poly,2,1,0.001,1,0.1,12.202,2.718,0.382,0.751
poly,2,1,0.001,1,0.5,12.68,2.767,0.358,0.753
poly,2,1,0.001,1,0.8,13.536,2.886,0.317,0.75
poly,2,1,0.001,2,0.01,10.528,2.527,0.454,0.749
poly,2,1,0.001,2,0.1,10.529,2.544,0.456,0.748
poly,2,1,0.001,2,0.5,10.79,2.562,0.448,0.754
poly,2,1,0.001,2,0.8,11.771,2.725,0.401,0.751
poly,2,1,0.001,3,0.01,10.086,2.49,0.468,0.742
poly,2,1,0.001,3,0.1,9.807,2.467,0.483,0.747
poly,2,1,0.001,3,0.5,10.207,2.503,0.473,0.751
