Activation,Learning_strategy,Layers,Learning_rate,MSE,MAE,R^2-Score,PCC
relu,constant,"(50,)",0.001,13.245,2.866,0.436,0.669
relu,constant,"(50,)",0.0001,9.71,2.406,0.587,0.774
relu,constant,"(50,)",1e-05,16.578,3.084,0.294,0.565
relu,constant,"(100,)",0.001,14.246,2.989,0.394,0.641
relu,constant,"(100,)",0.0001,9.78,2.491,0.584,0.766
relu,constant,"(100,)",1e-05,15.007,2.991,0.361,0.668
relu,constant,"(150,)",0.001,15.813,3.15,0.327,0.595
relu,constant,"(150,)",0.0001,10.629,2.558,0.548,0.742
relu,constant,"(150,)",1e-05,14.052,2.979,0.402,0.658
relu,constant,"(200,)",0.001,14.317,2.979,0.391,0.633
relu,constant,"(200,)",0.0001,11.004,2.627,0.532,0.731
relu,constant,"(200,)",1e-05,13.667,2.97,0.418,0.666
relu,constant,"(250,)",0.001,16.194,3.038,0.311,0.595
relu,constant,"(250,)",0.0001,10.417,2.543,0.557,0.749
relu,constant,"(250,)",1e-05,12.529,2.834,0.467,0.705
relu,constant,"(300,)",0.001,16.12,3.092,0.314,0.594
relu,constant,"(300,)",0.0001,10.689,2.629,0.545,0.74
relu,constant,"(300,)",1e-05,12.441,2.842,0.47,0.722
logistic,constant,"(50,)",0.001,9.824,2.493,0.582,0.766
logistic,constant,"(50,)",0.0001,10.794,2.598,0.541,0.772
logistic,constant,"(50,)",1e-05,23.571,3.985,-0.003,0.055
logistic,constant,"(100,)",0.001,9.687,2.492,0.588,0.77
logistic,constant,"(100,)",0.0001,10.719,2.61,0.544,0.781
logistic,constant,"(100,)",1e-05,21.437,3.551,0.088,0.752
logistic,constant,"(150,)",0.001,9.968,2.517,0.576,0.761
logistic,constant,"(150,)",0.0001,10.312,2.573,0.561,0.768
logistic,constant,"(150,)",1e-05,23.462,3.78,0.001,0.275
logistic,constant,"(200,)",0.001,9.985,2.525,0.575,0.76
logistic,constant,"(200,)",0.0001,10.019,2.532,0.574,0.771
logistic,constant,"(200,)",1e-05,23.726,3.859,-0.01,-0.013
logistic,constant,"(250,)",0.001,9.861,2.509,0.58,0.763
logistic,constant,"(250,)",0.0001,9.782,2.505,0.584,0.777
logistic,constant,"(250,)",1e-05,23.435,3.888,0.002,0.083
logistic,constant,"(300,)",0.001,9.96,2.521,0.576,0.76
logistic,constant,"(300,)",0.0001,9.83,2.518,0.582,0.773
logistic,constant,"(300,)",1e-05,21.652,3.704,0.078,0.714
relu,constant,"(50,10)",0.001,15.444,2.922,0.343,0.652
relu,constant,"(50,10)",0.0001,9.254,2.378,0.606,0.786
relu,constant,"(50,10)",1e-05,17.282,3.385,0.264,0.672
relu,constant,"(100,20)",0.001,16.988,3.159,0.277,0.595
relu,constant,"(100,20)",0.0001,11.435,2.72,0.513,0.722
relu,constant,"(100,20)",1e-05,14.74,3.076,0.373,0.627
relu,constant,"(150,30)",0.001,18.734,3.498,0.203,0.524
relu,constant,"(150,30)",0.0001,10.597,2.572,0.549,0.742
relu,constant,"(150,30)",1e-05,10.573,2.669,0.55,0.774
relu,constant,"(200,40)",0.001,18.067,3.221,0.231,0.569
relu,constant,"(200,40)",0.0001,12.725,2.802,0.458,0.696
relu,constant,"(200,40)",1e-05,10.431,2.586,0.556,0.775
logistic,constant,"(50,10)",0.001,10.217,2.524,0.565,0.757
logistic,constant,"(50,10)",0.0001,23.042,3.879,0.019,0.76
logistic,constant,"(50,10)",1e-05,24.597,4.162,-0.047,-0.487
logistic,constant,"(100,20)",0.001,10.243,2.537,0.564,0.754
logistic,constant,"(100,20)",0.0001,10.57,2.556,0.55,0.767
logistic,constant,"(100,20)",1e-05,24.806,3.836,-0.056,-0.412
logistic,constant,"(150,30)",0.001,23.158,3.709,0.014,0.777
logistic,constant,"(150,30)",0.0001,10.134,2.548,0.569,0.781
logistic,constant,"(150,30)",1e-05,23.334,4.022,0.007,0.774
logistic,constant,"(200,40)",0.001,10.367,2.551,0.559,0.75
logistic,constant,"(200,40)",0.0001,10.362,2.522,0.559,0.766
logistic,constant,"(200,40)",1e-05,23.897,3.796,-0.017,0.744
