kernel,C,gamma,epsilon,MSE,MAE,R^2-Score,PCC
RBF,5,0.1,0.001,11.664,2.731,0.338,0.651
RBF,5,0.1,0.01,11.612,2.721,0.342,0.653
RBF,5,0.1,0.1,11.197,2.635,0.374,0.667
RBF,5,0.1,0.5,10.236,2.552,0.435,0.71
RBF,5,0.1,0.8,10.252,2.569,0.433,0.709
RBF,5,0.01,0.001,8.536,2.31,0.519,0.759
RBF,5,0.01,0.01,8.517,2.305,0.52,0.759
RBF,5,0.01,0.1,8.733,2.329,0.511,0.756
RBF,5,0.01,0.5,8.94,2.398,0.513,0.76
RBF,5,0.01,0.8,8.737,2.391,0.516,0.758
RBF,5,0.001,0.001,9.648,2.443,0.48,0.74
RBF,5,0.001,0.01,9.642,2.442,0.48,0.741
RBF,5,0.001,0.1,9.524,2.445,0.488,0.745
RBF,5,0.001,0.5,9.785,2.462,0.488,0.748
RBF,5,0.001,0.8,10.35,2.544,0.465,0.743
RBF,5,0.0001,0.001,14.688,2.966,0.261,0.75
RBF,5,0.0001,0.01,14.704,2.969,0.26,0.75
RBF,5,0.0001,0.1,14.711,2.991,0.257,0.749
RBF,5,0.0001,0.5,14.96,2.99,0.245,0.754
RBF,5,0.0001,0.8,15.882,3.113,0.198,0.751
RBF,10,0.1,0.001,12.445,2.786,0.304,0.633
RBF,10,0.1,0.01,12.42,2.783,0.305,0.633
RBF,10,0.1,0.1,12.125,2.707,0.322,0.642
RBF,10,0.1,0.5,10.74,2.633,0.409,0.691
RBF,10,0.1,0.8,10.259,2.566,0.429,0.706
RBF,10,0.01,0.001,8.332,2.286,0.529,0.763
RBF,10,0.01,0.01,8.328,2.287,0.529,0.763
RBF,10,0.01,0.1,8.709,2.335,0.505,0.752
RBF,10,0.01,0.5,8.699,2.388,0.517,0.76
RBF,10,0.01,0.8,8.618,2.4,0.518,0.759
RBF,10,0.001,0.001,9.52,2.439,0.475,0.737
RBF,10,0.001,0.01,9.47,2.432,0.477,0.738
RBF,10,0.001,0.1,9.54,2.432,0.475,0.741
RBF,10,0.001,0.5,9.51,2.433,0.493,0.745
RBF,10,0.001,0.8,9.451,2.452,0.498,0.749
RBF,10,0.0001,0.001,12.153,2.71,0.382,0.75
RBF,10,0.0001,0.01,12.161,2.709,0.382,0.75
RBF,10,0.0001,0.1,12.214,2.719,0.381,0.751
RBF,10,0.0001,0.5,12.69,2.768,0.357,0.753
RBF,10,0.0001,0.8,13.548,2.887,0.317,0.75
RBF,15,0.1,0.001,13.164,2.823,0.27,0.615
RBF,15,0.1,0.01,13.14,2.821,0.271,0.616
RBF,15,0.1,0.1,13.036,2.788,0.276,0.617
RBF,15,0.1,0.5,11.013,2.657,0.397,0.683
RBF,15,0.1,0.8,10.251,2.565,0.429,0.706
RBF,15,0.01,0.001,8.323,2.284,0.528,0.763
RBF,15,0.01,0.01,8.348,2.285,0.526,0.763
RBF,15,0.01,0.1,8.842,2.353,0.495,0.749
RBF,15,0.01,0.5,8.746,2.396,0.511,0.756
RBF,15,0.01,0.8,8.637,2.398,0.517,0.757
RBF,15,0.001,0.001,9.654,2.444,0.462,0.733
RBF,15,0.001,0.01,9.677,2.449,0.461,0.734
RBF,15,0.001,0.1,9.458,2.427,0.475,0.74
RBF,15,0.001,0.5,9.601,2.442,0.485,0.742
RBF,15,0.001,0.8,9.131,2.402,0.506,0.751
RBF,15,0.0001,0.001,11.197,2.6,0.428,0.75
RBF,15,0.0001,0.01,11.19,2.6,0.427,0.749
RBF,15,0.0001,0.1,11.036,2.6,0.433,0.75
RBF,15,0.0001,0.5,11.565,2.646,0.414,0.753
RBF,15,0.0001,0.8,12.428,2.781,0.371,0.749
RBF,20,0.1,0.001,13.767,2.866,0.239,0.602
RBF,20,0.1,0.01,13.721,2.859,0.241,0.603
RBF,20,0.1,0.1,13.607,2.834,0.249,0.607
RBF,20,0.1,0.5,11.075,2.661,0.395,0.682
RBF,20,0.1,0.8,10.251,2.565,0.429,0.706
RBF,20,0.01,0.001,8.501,2.296,0.515,0.76
RBF,20,0.01,0.01,8.508,2.299,0.515,0.759
RBF,20,0.01,0.1,9.068,2.382,0.479,0.743
RBF,20,0.01,0.5,8.752,2.396,0.507,0.753
RBF,20,0.01,0.8,8.717,2.411,0.513,0.754
RBF,20,0.001,0.001,9.719,2.448,0.455,0.732
RBF,20,0.001,0.01,9.701,2.448,0.457,0.732
RBF,20,0.001,0.1,9.447,2.43,0.474,0.741
RBF,20,0.001,0.5,9.591,2.444,0.484,0.741
RBF,20,0.001,0.8,9.087,2.396,0.508,0.753
RBF,20,0.0001,0.001,10.536,2.527,0.454,0.749
RBF,20,0.0001,0.01,10.533,2.527,0.454,0.748
RBF,20,0.0001,0.1,10.53,2.544,0.456,0.748
RBF,20,0.0001,0.5,10.8,2.562,0.448,0.754
RBF,20,0.0001,0.8,11.78,2.726,0.4,0.751
