Activation,Learning_strategy,Layers,Learning_rate,MSE,MAE,R^2-Score,PCC
relu,constant,"(50,)",0.01,14.482,2.849,0.262,0.643
relu,constant,"(50,)",0.001,9.611,2.418,0.518,0.734
relu,constant,"(50,)",0.0001,8.934,2.361,0.546,0.738
relu,constant,"(50,)",1e-05,13.925,2.865,0.289,0.568
relu,constant,"(100,)",0.01,12.204,2.662,0.382,0.695
relu,constant,"(100,)",0.001,8.679,2.307,0.562,0.76
relu,constant,"(100,)",0.0001,8.762,2.323,0.561,0.75
relu,constant,"(100,)",1e-05,13.539,2.752,0.328,0.622
relu,constant,"(150,)",0.01,12.018,2.773,0.392,0.701
relu,constant,"(150,)",0.001,10.538,2.657,0.466,0.718
relu,constant,"(150,)",0.0001,8.559,2.347,0.57,0.756
relu,constant,"(150,)",1e-05,11.093,2.596,0.448,0.725
relu,constant,"(200,)",0.01,11.537,2.651,0.415,0.7
relu,constant,"(200,)",0.001,9.565,2.479,0.518,0.74
relu,constant,"(200,)",0.0001,8.3,2.317,0.583,0.763
relu,constant,"(200,)",1e-05,10.061,2.579,0.497,0.746
relu,constant,"(250,)",0.01,11.526,2.651,0.415,0.701
relu,constant,"(250,)",0.001,9.839,2.477,0.501,0.734
relu,constant,"(250,)",0.0001,8.798,2.376,0.556,0.748
relu,constant,"(250,)",1e-05,11.101,2.602,0.446,0.705
relu,constant,"(300,)",0.01,13.062,2.755,0.336,0.672
relu,constant,"(300,)",0.001,10.501,2.558,0.47,0.721
relu,constant,"(300,)",0.0001,8.844,2.367,0.553,0.745
relu,constant,"(300,)",1e-05,10.562,2.535,0.47,0.72
logistic,constant,"(50,)",0.01,9.493,2.437,0.523,0.741
logistic,constant,"(50,)",0.001,8.911,2.362,0.553,0.745
logistic,constant,"(50,)",0.0001,9.48,2.434,0.525,0.75
logistic,constant,"(50,)",1e-05,20.692,3.428,-0.034,0.293
logistic,constant,"(100,)",0.01,9.913,2.474,0.501,0.715
logistic,constant,"(100,)",0.001,9.09,2.393,0.544,0.739
logistic,constant,"(100,)",0.0001,9.225,2.424,0.539,0.748
logistic,constant,"(100,)",1e-05,22.031,3.605,-0.099,-0.653
logistic,constant,"(150,)",0.01,9.882,2.463,0.502,0.715
logistic,constant,"(150,)",0.001,9.28,2.415,0.534,0.733
logistic,constant,"(150,)",0.0001,9.093,2.407,0.545,0.746
logistic,constant,"(150,)",1e-05,19.853,3.519,0.01,0.197
logistic,constant,"(200,)",0.01,9.98,2.473,0.497,0.714
logistic,constant,"(200,)",0.001,9.039,2.388,0.546,0.741
logistic,constant,"(200,)",0.0001,9.366,2.444,0.532,0.748
logistic,constant,"(200,)",1e-05,16.255,3.217,0.189,0.754
logistic,constant,"(250,)",0.01,10.209,2.57,0.486,0.742
logistic,constant,"(250,)",0.001,9.11,2.395,0.543,0.738
logistic,constant,"(250,)",0.0001,9.205,2.419,0.539,0.747
logistic,constant,"(250,)",1e-05,18.224,3.302,0.091,0.681
logistic,constant,"(300,)",0.01,10.441,2.512,0.475,0.716
logistic,constant,"(300,)",0.001,9.108,2.394,0.543,0.738
logistic,constant,"(300,)",0.0001,9.149,2.415,0.542,0.747
logistic,constant,"(300,)",1e-05,18.367,3.322,0.084,0.701
relu,constant,"(50,10)",0.01,20.254,3.377,-0.021,0.603
relu,constant,"(50,10)",0.001,10.883,2.679,0.455,0.718
relu,constant,"(50,10)",0.0001,9.017,2.451,0.548,0.742
relu,constant,"(50,10)",1e-05,12.882,2.843,0.36,0.606
relu,constant,"(100,20)",0.01,12.282,2.744,0.381,0.676
relu,constant,"(100,20)",0.001,12.513,2.757,0.367,0.663
relu,constant,"(100,20)",0.0001,8.675,2.371,0.563,0.752
relu,constant,"(100,20)",1e-05,9.971,2.507,0.496,0.712
relu,constant,"(150,30)",0.01,13.839,2.886,0.295,0.655
relu,constant,"(150,30)",0.001,11.364,2.656,0.426,0.692
relu,constant,"(150,30)",0.0001,8.626,2.367,0.566,0.753
relu,constant,"(150,30)",1e-05,9.537,2.527,0.523,0.74
relu,constant,"(200,40)",0.01,12.215,2.743,0.39,0.694
relu,constant,"(200,40)",0.001,10.589,2.535,0.465,0.711
relu,constant,"(200,40)",0.0001,8.817,2.345,0.556,0.749
relu,constant,"(200,40)",1e-05,9.68,2.479,0.512,0.73
logistic,constant,"(50,10)",0.01,17.964,3.212,0.102,0.58
logistic,constant,"(50,10)",0.001,9.271,2.386,0.534,0.733
logistic,constant,"(50,10)",0.0001,13.083,2.821,0.36,0.723
logistic,constant,"(50,10)",1e-05,20.909,3.713,-0.043,-0.123
logistic,constant,"(100,20)",0.01,15.971,3.067,0.19,0.598
logistic,constant,"(100,20)",0.001,9.513,2.421,0.521,0.723
logistic,constant,"(100,20)",0.0001,9.222,2.392,0.539,0.744
logistic,constant,"(100,20)",1e-05,20.273,3.46,-0.011,0.331
logistic,constant,"(150,30)",0.01,13.229,2.73,0.336,0.653
logistic,constant,"(150,30)",0.001,9.447,2.414,0.524,0.726
logistic,constant,"(150,30)",0.0001,8.982,2.383,0.551,0.75
logistic,constant,"(150,30)",1e-05,20.329,3.629,-0.014,0.601
logistic,constant,"(200,40)",0.01,14.846,2.808,0.247,0.595
logistic,constant,"(200,40)",0.001,9.484,2.423,0.522,0.725
logistic,constant,"(200,40)",0.0001,8.893,2.372,0.555,0.751
logistic,constant,"(200,40)",1e-05,20.321,3.616,-0.014,0.227
