kernel,C,epsilon,MSE,MAE,R^2-Score,PCC
linear,1,0.01,9.448,2.411,0.51,0.729
linear,1,0.1,9.292,2.401,0.52,0.735
linear,1,0.5,9.613,2.422,0.511,0.733
linear,1,0.7,9.171,2.385,0.53,0.739
linear,5,0.01,9.464,2.411,0.509,0.728
linear,5,0.1,9.298,2.4,0.52,0.735
linear,5,0.5,9.611,2.422,0.511,0.733
linear,5,0.7,9.17,2.385,0.53,0.739
linear,10,0.01,9.464,2.411,0.509,0.728
linear,10,0.1,9.289,2.4,0.52,0.735
linear,10,0.5,9.612,2.422,0.511,0.733
linear,10,0.7,9.177,2.386,0.53,0.739
linear,15,0.01,9.46,2.411,0.509,0.728
linear,15,0.1,9.294,2.4,0.52,0.735
linear,15,0.5,9.61,2.422,0.512,0.733
linear,15,0.7,9.174,2.386,0.53,0.739
