kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,2,1,0.1,1,0.01,10.307,2.517,0.396,0.718
poly,2,1,0.1,1,0.1,9.954,2.475,0.412,0.732
poly,2,1,0.1,1,0.5,8.976,2.372,0.485,0.749
poly,2,1,0.1,1,0.8,9.317,2.417,0.477,0.749
poly,2,1,0.1,2,0.01,10.41,2.518,0.388,0.717
poly,2,1,0.1,2,0.1,9.918,2.471,0.414,0.734
poly,2,1,0.1,2,0.5,9.002,2.377,0.482,0.748
poly,2,1,0.1,2,0.8,9.454,2.429,0.469,0.745
poly,2,1,0.1,3,0.01,10.457,2.521,0.383,0.717
poly,2,1,0.1,3,0.1,9.893,2.469,0.415,0.735
poly,2,1,0.1,3,0.5,9.021,2.379,0.48,0.748
poly,2,1,0.1,3,0.8,9.516,2.435,0.465,0.744
poly,2,1,0.1,4,0.01,10.476,2.522,0.382,0.717
poly,2,1,0.1,4,0.1,9.895,2.471,0.415,0.735
poly,2,1,0.1,4,0.5,9.027,2.38,0.479,0.748
poly,2,1,0.1,4,0.8,9.549,2.438,0.463,0.743
poly,2,1,0.01,1,0.01,9.055,2.375,0.493,0.749
poly,2,1,0.01,1,0.1,9.115,2.389,0.492,0.751
poly,2,1,0.01,1,0.5,9.265,2.411,0.502,0.753
poly,2,1,0.01,1,0.8,9.417,2.433,0.495,0.749
poly,2,1,0.01,2,0.01,9.252,2.398,0.477,0.745
poly,2,1,0.01,2,0.1,9.205,2.396,0.479,0.749
poly,2,1,0.01,2,0.5,9.409,2.419,0.488,0.748
poly,2,1,0.01,2,0.8,9.17,2.375,0.501,0.752
poly,2,1,0.01,3,0.01,9.427,2.418,0.464,0.741
poly,2,1,0.01,3,0.1,9.24,2.405,0.474,0.746
poly,2,1,0.01,3,0.5,9.471,2.42,0.483,0.745
poly,2,1,0.01,3,0.8,9.108,2.357,0.501,0.752
poly,2,1,0.01,4,0.01,9.591,2.433,0.452,0.737
poly,2,1,0.01,4,0.1,9.266,2.406,0.471,0.745
poly,2,1,0.01,4,0.5,9.416,2.414,0.485,0.744
poly,2,1,0.01,4,0.8,9.168,2.354,0.498,0.751
poly,2,1,0.001,1,0.01,12.043,2.702,0.392,0.748
poly,2,1,0.001,1,0.1,12.07,2.701,0.391,0.749
poly,2,1,0.001,1,0.5,12.788,2.764,0.356,0.752
poly,2,1,0.001,1,0.8,13.452,2.871,0.324,0.744
poly,2,1,0.001,2,0.01,10.59,2.537,0.455,0.75
poly,2,1,0.001,2,0.1,10.508,2.544,0.459,0.753
poly,2,1,0.001,2,0.5,10.684,2.548,0.455,0.755
poly,2,1,0.001,2,0.8,11.772,2.711,0.403,0.742
poly,2,1,0.001,3,0.01,9.978,2.482,0.476,0.75
poly,2,1,0.001,3,0.1,9.877,2.474,0.482,0.751
poly,2,1,0.001,3,0.5,10.163,2.496,0.477,0.752
poly,2,1,0.001,3,0.8,11.01,2.62,0.438,0.744
poly,2,1,0.001,4,0.01,9.423,2.419,0.493,0.749
poly,2,1,0.001,4,0.1,9.598,2.439,0.49,0.751
poly,2,1,0.001,4,0.5,9.876,2.468,0.487,0.752
poly,2,1,0.001,4,0.8,10.671,2.572,0.455,0.745
