Activation,Learning_strategy,Layers,Learning_rate,MSE,MAE,R^2-Score,PCC
relu,constant,"(50,)",0.01,15.683,3.053,0.18,0.665
relu,constant,"(50,)",0.001,10.029,2.491,0.478,0.711
relu,constant,"(50,)",0.0001,9.228,2.405,0.519,0.725
relu,constant,"(50,)",1e-05,14.188,2.999,0.266,0.555
relu,constant,"(100,)",0.01,14.191,2.905,0.258,0.635
relu,constant,"(100,)",0.001,11.27,2.594,0.411,0.675
relu,constant,"(100,)",0.0001,9.077,2.367,0.532,0.74
relu,constant,"(100,)",1e-05,12.087,2.62,0.387,0.672
relu,constant,"(150,)",0.01,12.357,2.671,0.365,0.681
relu,constant,"(150,)",0.001,11.446,2.645,0.412,0.685
relu,constant,"(150,)",0.0001,8.772,2.35,0.549,0.749
relu,constant,"(150,)",1e-05,11.672,2.637,0.419,0.693
relu,constant,"(200,)",0.01,17.333,3.015,0.104,0.616
relu,constant,"(200,)",0.001,11.041,2.653,0.429,0.695
relu,constant,"(200,)",0.0001,8.421,2.303,0.568,0.76
relu,constant,"(200,)",1e-05,10.728,2.622,0.464,0.724
relu,constant,"(250,)",0.01,12.226,2.802,0.373,0.688
relu,constant,"(250,)",0.001,10.346,2.547,0.466,0.711
relu,constant,"(250,)",0.0001,8.626,2.351,0.556,0.75
relu,constant,"(250,)",1e-05,10.891,2.6,0.46,0.718
relu,constant,"(300,)",0.01,11.822,2.687,0.381,0.702
relu,constant,"(300,)",0.001,9.035,2.457,0.537,0.749
relu,constant,"(300,)",0.0001,8.517,2.331,0.562,0.755
relu,constant,"(300,)",1e-05,10.819,2.549,0.457,0.715
logistic,constant,"(50,)",0.01,15.006,3.093,0.206,0.611
logistic,constant,"(50,)",0.001,8.793,2.336,0.553,0.75
logistic,constant,"(50,)",0.0001,9.665,2.435,0.517,0.747
logistic,constant,"(50,)",1e-05,21.158,3.738,-0.073,-0.024
logistic,constant,"(100,)",0.01,9.158,2.369,0.531,0.739
logistic,constant,"(100,)",0.001,8.779,2.345,0.554,0.751
logistic,constant,"(100,)",0.0001,9.578,2.441,0.521,0.745
logistic,constant,"(100,)",1e-05,19.602,3.391,0.013,0.482
logistic,constant,"(150,)",0.01,9.026,2.359,0.538,0.742
logistic,constant,"(150,)",0.001,8.731,2.332,0.554,0.751
logistic,constant,"(150,)",0.0001,9.047,2.377,0.545,0.751
logistic,constant,"(150,)",1e-05,20.144,3.519,-0.011,0.025
logistic,constant,"(200,)",0.01,9.074,2.354,0.535,0.74
logistic,constant,"(200,)",0.001,8.719,2.334,0.557,0.753
logistic,constant,"(200,)",0.0001,9.288,2.41,0.535,0.75
logistic,constant,"(200,)",1e-05,18.154,3.388,0.09,0.611
logistic,constant,"(250,)",0.01,9.285,2.379,0.524,0.738
logistic,constant,"(250,)",0.001,8.737,2.336,0.555,0.751
logistic,constant,"(250,)",0.0001,9.102,2.385,0.543,0.75
logistic,constant,"(250,)",1e-05,18.9,3.381,0.053,0.638
logistic,constant,"(300,)",0.01,9.393,2.416,0.516,0.739
logistic,constant,"(300,)",0.001,8.696,2.332,0.557,0.753
logistic,constant,"(300,)",0.0001,8.922,2.368,0.55,0.754
logistic,constant,"(300,)",1e-05,17.537,3.273,0.126,0.677
relu,constant,"(50,10)",0.01,18.931,3.295,0.011,0.586
relu,constant,"(50,10)",0.001,12.472,2.772,0.35,0.667
relu,constant,"(50,10)",0.0001,10.152,2.514,0.474,0.699
relu,constant,"(50,10)",1e-05,16.145,3.182,0.19,0.491
relu,constant,"(100,20)",0.01,16.873,3.092,0.137,0.607
relu,constant,"(100,20)",0.001,11.071,2.641,0.425,0.701
relu,constant,"(100,20)",0.0001,8.613,2.322,0.554,0.748
relu,constant,"(100,20)",1e-05,10.369,2.562,0.475,0.707
relu,constant,"(150,30)",0.01,14.687,2.941,0.234,0.605
relu,constant,"(150,30)",0.001,12.955,2.864,0.328,0.648
relu,constant,"(150,30)",0.0001,9.61,2.473,0.498,0.714
relu,constant,"(150,30)",1e-05,10.219,2.519,0.484,0.715
relu,constant,"(200,40)",0.01,13.311,2.825,0.307,0.66
relu,constant,"(200,40)",0.001,13.25,2.822,0.314,0.64
relu,constant,"(200,40)",0.0001,9.101,2.389,0.531,0.733
relu,constant,"(200,40)",1e-05,9.192,2.455,0.531,0.755
logistic,constant,"(50,10)",0.01,16.613,3.079,0.089,0.66
logistic,constant,"(50,10)",0.001,8.775,2.317,0.553,0.752
logistic,constant,"(50,10)",0.0001,9.765,2.439,0.513,0.743
logistic,constant,"(50,10)",1e-05,22.262,3.896,-0.13,0.236
logistic,constant,"(100,20)",0.01,15.213,3.143,0.211,0.627
logistic,constant,"(100,20)",0.001,8.819,2.332,0.55,0.75
logistic,constant,"(100,20)",0.0001,9.5,2.406,0.525,0.739
logistic,constant,"(100,20)",1e-05,20.71,3.47,-0.04,0.104
logistic,constant,"(150,30)",0.01,14.162,2.826,0.23,0.657
logistic,constant,"(150,30)",0.001,8.726,2.326,0.553,0.752
logistic,constant,"(150,30)",0.0001,8.959,2.36,0.548,0.751
logistic,constant,"(150,30)",1e-05,20.023,3.568,-0.01,0.616
logistic,constant,"(200,40)",0.01,11.253,2.602,0.412,0.702
logistic,constant,"(200,40)",0.001,19.979,3.383,-0.001,0.703
logistic,constant,"(200,40)",0.0001,9.033,2.386,0.546,0.756
logistic,constant,"(200,40)",1e-05,20.303,3.644,-0.026,0.693
