kernel,C,epsilon,MSE,MAE,R^2-Score,PCC
linear,1,0.01,9.726,2.476,0.496,0.723
linear,1,0.1,9.409,2.433,0.514,0.731
linear,1,0.5,9.0,2.354,0.543,0.747
linear,1,0.7,9.106,2.359,0.533,0.74
linear,5,0.01,9.726,2.476,0.496,0.723
linear,5,0.1,9.456,2.436,0.512,0.73
linear,5,0.5,9.001,2.354,0.543,0.747
linear,5,0.7,9.141,2.363,0.532,0.739
linear,10,0.01,9.736,2.477,0.495,0.723
linear,10,0.1,9.443,2.435,0.512,0.731
linear,10,0.5,8.999,2.354,0.543,0.747
linear,10,0.7,9.179,2.37,0.53,0.738
linear,15,0.01,9.736,2.477,0.495,0.723
linear,15,0.1,9.444,2.436,0.512,0.73
linear,15,0.5,8.997,2.354,0.543,0.747
linear,15,0.7,9.164,2.368,0.531,0.738
