kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,2,1,0.1,1,0.01,8.802,2.313,0.543,0.745
poly,2,1,0.1,1,0.1,8.531,2.279,0.555,0.75
poly,2,1,0.1,1,0.5,8.453,2.294,0.558,0.75
poly,2,1,0.1,1,0.8,9.069,2.401,0.532,0.738
poly,2,1,0.1,2,0.01,8.792,2.303,0.544,0.746
poly,2,1,0.1,2,0.1,8.555,2.281,0.554,0.75
poly,2,1,0.1,2,0.5,8.493,2.3,0.556,0.748
poly,2,1,0.1,2,0.8,9.245,2.413,0.522,0.731
poly,2,1,0.1,3,0.01,8.785,2.299,0.545,0.747
poly,2,1,0.1,3,0.1,8.558,2.281,0.554,0.75
poly,2,1,0.1,3,0.5,8.508,2.302,0.555,0.748
poly,2,1,0.1,3,0.8,9.421,2.424,0.512,0.726
poly,2,1,0.1,4,0.01,8.778,2.296,0.545,0.747
poly,2,1,0.1,4,0.1,8.566,2.282,0.553,0.749
poly,2,1,0.1,4,0.5,8.515,2.303,0.555,0.748
poly,2,1,0.1,4,0.8,9.557,2.431,0.505,0.723
poly,2,1,0.01,1,0.01,9.182,2.392,0.53,0.743
poly,2,1,0.01,1,0.1,9.084,2.383,0.536,0.745
poly,2,1,0.01,1,0.5,9.192,2.408,0.535,0.752
poly,2,1,0.01,1,0.8,9.224,2.433,0.534,0.751
poly,2,1,0.01,2,0.01,9.18,2.387,0.527,0.738
poly,2,1,0.01,2,0.1,8.996,2.369,0.538,0.745
poly,2,1,0.01,2,0.5,9.219,2.397,0.532,0.749
poly,2,1,0.01,2,0.8,8.959,2.383,0.546,0.751
poly,2,1,0.01,3,0.01,9.214,2.391,0.524,0.737
poly,2,1,0.01,3,0.1,9.043,2.372,0.534,0.743
poly,2,1,0.01,3,0.5,9.356,2.41,0.524,0.744
poly,2,1,0.01,3,0.8,8.762,2.35,0.554,0.752
poly,2,1,0.01,4,0.01,9.242,2.395,0.522,0.736
poly,2,1,0.01,4,0.1,9.108,2.376,0.53,0.741
poly,2,1,0.01,4,0.5,9.391,2.41,0.523,0.743
poly,2,1,0.01,4,0.8,8.795,2.351,0.552,0.751
poly,2,1,0.001,1,0.01,12.282,2.73,0.387,0.751
poly,2,1,0.001,1,0.1,12.453,2.745,0.378,0.753
poly,2,1,0.001,1,0.5,12.996,2.8,0.351,0.754
poly,2,1,0.001,1,0.8,13.818,2.915,0.311,0.75
poly,2,1,0.001,2,0.01,10.603,2.546,0.469,0.752
poly,2,1,0.001,2,0.1,10.485,2.543,0.475,0.75
poly,2,1,0.001,2,0.5,10.935,2.582,0.455,0.754
poly,2,1,0.001,2,0.8,11.848,2.734,0.409,0.749
poly,2,1,0.001,3,0.01,9.965,2.49,0.499,0.747
poly,2,1,0.001,3,0.1,9.837,2.479,0.505,0.749
poly,2,1,0.001,3,0.5,10.302,2.513,0.486,0.753
poly,2,1,0.001,3,0.8,11.016,2.64,0.45,0.749
poly,2,1,0.001,4,0.01,9.65,2.455,0.513,0.745
poly,2,1,0.001,4,0.1,9.554,2.449,0.518,0.747
poly,2,1,0.001,4,0.5,9.751,2.462,0.513,0.752
poly,2,1,0.001,4,0.8,10.593,2.59,0.471,0.747
poly,2,5,0.1,1,0.01,11.105,2.523,0.424,0.691
poly,2,5,0.1,1,0.1,10.44,2.443,0.456,0.713
poly,2,5,0.1,1,0.5,10.161,2.463,0.455,0.679
poly,2,5,0.1,1,0.8,11.599,2.596,0.384,0.653
poly,2,5,0.1,2,0.01,11.031,2.519,0.428,0.693
poly,2,5,0.1,2,0.1,10.448,2.442,0.455,0.713
poly,2,5,0.1,2,0.5,10.18,2.465,0.454,0.679
poly,2,5,0.1,2,0.8,11.585,2.597,0.385,0.654
poly,2,5,0.1,3,0.01,11.009,2.519,0.43,0.694
poly,2,5,0.1,3,0.1,10.454,2.442,0.455,0.713
poly,2,5,0.1,3,0.5,10.182,2.466,0.454,0.679
poly,2,5,0.1,3,0.8,11.587,2.598,0.385,0.655
poly,2,5,0.1,4,0.01,11,2.518,0.43,0.694
poly,2,5,0.1,4,0.1,10.455,2.442,0.455,0.714
poly,2,5,0.1,4,0.5,10.187,2.467,0.454,0.678
poly,2,5,0.1,4,0.8,11.585,2.598,0.385,0.655
poly,2,5,0.01,1,0.01,8.827,2.339,0.543,0.747
poly,2,5,0.01,1,0.1,8.86,2.333,0.543,0.748
poly,2,5,0.01,1,0.5,8.918,2.382,0.545,0.755
poly,2,5,0.01,1,0.8,8.81,2.36,0.549,0.748
poly,2,5,0.01,2,0.01,8.933,2.346,0.536,0.745
poly,2,5,0.01,2,0.1,8.913,2.338,0.54,0.747
poly,2,5,0.01,2,0.5,8.868,2.369,0.546,0.755
poly,2,5,0.01,2,0.8,9.1,2.377,0.533,0.74
poly,2,5,0.01,3,0.01,8.968,2.349,0.534,0.744
poly,2,5,0.01,3,0.1,8.934,2.339,0.539,0.746
poly,2,5,0.01,3,0.5,8.859,2.366,0.547,0.755
poly,2,5,0.01,3,0.8,9.152,2.383,0.53,0.738
poly,2,5,0.01,4,0.01,8.983,2.349,0.533,0.744
poly,2,5,0.01,4,0.1,8.943,2.339,0.538,0.746
poly,2,5,0.01,4,0.5,8.854,2.365,0.547,0.755
poly,2,5,0.01,4,0.8,9.171,2.385,0.529,0.738
poly,2,5,0.001,1,0.01,9.482,2.433,0.52,0.743
poly,2,5,0.001,1,0.1,9.471,2.435,0.522,0.746
poly,2,5,0.001,1,0.5,9.573,2.441,0.52,0.752
poly,2,5,0.001,1,0.8,10.293,2.548,0.486,0.746
poly,2,5,0.001,2,0.01,9.324,2.409,0.524,0.74
poly,2,5,0.001,2,0.1,9.251,2.406,0.528,0.741
poly,2,5,0.001,2,0.5,9.318,2.414,0.529,0.749
poly,2,5,0.001,2,0.8,9.308,2.435,0.531,0.747
poly,2,5,0.001,3,0.01,9.3,2.4,0.523,0.737
poly,2,5,0.001,3,0.1,9.201,2.402,0.53,0.742
poly,2,5,0.001,3,0.5,9.329,2.406,0.527,0.746
poly,2,5,0.001,3,0.8,9.049,2.395,0.542,0.75
poly,2,5,0.001,4,0.01,9.354,2.402,0.518,0.734
poly,2,5,0.001,4,0.1,9.063,2.388,0.535,0.743
poly,2,5,0.001,4,0.5,9.416,2.414,0.523,0.742
poly,2,5,0.001,4,0.8,8.953,2.374,0.547,0.75
poly,2,10,0.1,1,0.01,12.327,2.578,0.356,0.675
poly,2,10,0.1,1,0.1,11.07,2.483,0.419,0.701
poly,2,10,0.1,1,0.5,10.373,2.495,0.444,0.672
poly,2,10,0.1,1,0.8,12.362,2.682,0.342,0.635
poly,2,10,0.1,2,0.01,12.273,2.576,0.359,0.677
poly,2,10,0.1,2,0.1,11.067,2.481,0.419,0.701
poly,2,10,0.1,2,0.5,10.376,2.495,0.444,0.672
poly,2,10,0.1,2,0.8,12.404,2.684,0.339,0.634
poly,2,10,0.1,3,0.01,12.258,2.576,0.36,0.677
poly,2,10,0.1,3,0.1,11.055,2.48,0.42,0.701
poly,2,10,0.1,3,0.5,10.373,2.495,0.444,0.672
poly,2,10,0.1,3,0.8,12.42,2.685,0.338,0.634
poly,2,10,0.1,4,0.01,12.249,2.575,0.36,0.677
poly,2,10,0.1,4,0.1,11.043,2.48,0.42,0.701
poly,2,10,0.1,4,0.5,10.382,2.495,0.444,0.672
