kernel,C,gamma,epsilon,MSE,MAE,R^2-Score,PCC
RBF,5,0.1,0.001,11.375,2.639,0.414,0.661
RBF,5,0.1,0.01,11.337,2.636,0.416,0.662
RBF,5,0.1,0.1,10.82,2.568,0.441,0.679
RBF,5,0.1,0.5,10.017,2.486,0.487,0.709
RBF,5,0.1,0.8,10.149,2.552,0.486,0.706
RBF,5,0.01,0.001,8.367,2.278,0.568,0.76
RBF,5,0.01,0.01,8.368,2.277,0.568,0.76
RBF,5,0.01,0.1,8.471,2.296,0.564,0.758
RBF,5,0.01,0.5,8.685,2.361,0.557,0.761
RBF,5,0.01,0.8,8.71,2.369,0.555,0.754
RBF,5,0.001,0.001,9.531,2.433,0.518,0.742
RBF,5,0.001,0.01,9.477,2.429,0.52,0.743
RBF,5,0.001,0.1,9.44,2.43,0.523,0.746
RBF,5,0.001,0.5,9.572,2.439,0.52,0.752
RBF,5,0.001,0.8,10.34,2.554,0.484,0.746
RBF,5,0.0001,0.001,15.241,3.026,0.239,0.75
RBF,5,0.0001,0.01,15.195,3.022,0.241,0.751
RBF,5,0.0001,0.1,15.13,3.022,0.244,0.751
RBF,5,0.0001,0.5,15.37,3.03,0.231,0.755
RBF,5,0.0001,0.8,16.118,3.134,0.193,0.751
RBF,10,0.1,0.001,12.308,2.721,0.365,0.639
RBF,10,0.1,0.01,12.261,2.714,0.367,0.64
RBF,10,0.1,0.1,11.848,2.652,0.388,0.652
RBF,10,0.1,0.5,10.516,2.552,0.458,0.69
RBF,10,0.1,0.8,10.165,2.548,0.485,0.705
RBF,10,0.01,0.001,8.088,2.239,0.583,0.768
RBF,10,0.01,0.01,8.1,2.241,0.582,0.768
RBF,10,0.01,0.1,8.26,2.273,0.574,0.762
RBF,10,0.01,0.5,8.315,2.323,0.573,0.765
RBF,10,0.01,0.8,8.573,2.373,0.56,0.755
RBF,10,0.001,0.001,9.308,2.406,0.525,0.741
RBF,10,0.001,0.01,9.291,2.403,0.526,0.741
RBF,10,0.001,0.1,9.241,2.403,0.528,0.742
RBF,10,0.001,0.5,9.31,2.409,0.53,0.749
RBF,10,0.001,0.8,9.326,2.441,0.53,0.748
RBF,10,0.0001,0.001,12.308,2.732,0.386,0.752
RBF,10,0.0001,0.01,12.29,2.731,0.387,0.751
RBF,10,0.0001,0.1,12.47,2.747,0.377,0.752
RBF,10,0.0001,0.5,13.005,2.801,0.35,0.754
RBF,10,0.0001,0.8,13.832,2.916,0.31,0.75
RBF,15,0.1,0.001,13.002,2.758,0.327,0.621
RBF,15,0.1,0.01,12.962,2.751,0.328,0.622
RBF,15,0.1,0.1,12.536,2.705,0.35,0.632
RBF,15,0.1,0.5,10.832,2.606,0.439,0.68
RBF,15,0.1,0.8,10.159,2.547,0.485,0.705
RBF,15,0.01,0.001,8.101,2.251,0.581,0.767
RBF,15,0.01,0.01,8.121,2.251,0.58,0.767
RBF,15,0.01,0.1,8.255,2.266,0.573,0.761
RBF,15,0.01,0.5,8.27,2.313,0.574,0.762
RBF,15,0.01,0.8,8.573,2.37,0.56,0.755
RBF,15,0.001,0.001,9.255,2.394,0.525,0.738
RBF,15,0.001,0.01,9.266,2.396,0.525,0.738
RBF,15,0.001,0.1,9.159,2.396,0.532,0.743
RBF,15,0.001,0.5,9.306,2.403,0.529,0.747
RBF,15,0.001,0.8,8.986,2.388,0.546,0.752
RBF,15,0.0001,0.001,11.265,2.612,0.437,0.751
RBF,15,0.0001,0.01,11.276,2.614,0.437,0.751
RBF,15,0.0001,0.1,11.113,2.613,0.445,0.753
RBF,15,0.0001,0.5,11.852,2.676,0.41,0.754
RBF,15,0.0001,0.8,12.724,2.81,0.366,0.748
RBF,20,0.1,0.001,13.634,2.786,0.291,0.605
RBF,20,0.1,0.01,13.587,2.778,0.293,0.607
RBF,20,0.1,0.1,13.08,2.723,0.319,0.617
RBF,20,0.1,0.5,10.837,2.607,0.439,0.681
RBF,20,0.1,0.8,10.159,2.547,0.485,0.705
RBF,20,0.01,0.001,8.191,2.249,0.576,0.764
RBF,20,0.01,0.01,8.191,2.247,0.576,0.764
RBF,20,0.01,0.1,8.282,2.268,0.571,0.759
RBF,20,0.01,0.5,8.271,2.311,0.572,0.759
RBF,20,0.01,0.8,8.611,2.37,0.558,0.754
RBF,20,0.001,0.001,9.301,2.398,0.521,0.735
RBF,20,0.001,0.01,9.273,2.394,0.523,0.736
RBF,20,0.001,0.1,9.017,2.379,0.537,0.744
RBF,20,0.001,0.5,9.279,2.401,0.529,0.747
RBF,20,0.001,0.8,8.965,2.382,0.547,0.751
RBF,20,0.0001,0.001,10.565,2.542,0.471,0.751
RBF,20,0.0001,0.01,10.611,2.547,0.469,0.751
RBF,20,0.0001,0.1,10.49,2.544,0.475,0.75
RBF,20,0.0001,0.5,10.944,2.582,0.454,0.754
RBF,20,0.0001,0.8,11.856,2.735,0.409,0.749
